ID,YEAR,DEPARTMENT_DESCR,COLLEGE_DESCR,FTPT,FirstTerm_CreditHours,FirstTerm_GPA,OneYear retention,TwoYear retention
4748957,2017,School of Communication,College of Arts & Sciences,FT,16,3.231,1,1
7349615,2016,LBJFF School of Education,College of Arts & Sciences,FT,13,2.969,1,
3225524,2016,Early College High School,The University of Akron,FT,5,0,,
7948921,2016,Department of Biology,College of Arts & Sciences,FT,20,3.725,1,
5649610,2016,Department of Biology,College of Arts & Sciences,FT,17,4,1,
4548711,2017,Department of Biology,College of Arts & Sciences,FT,20,3.955,1,
5247655,2016,Business Dean,College of Business,FT,15,2.653,1,
7847882,2017,,The University of Akron,FT,9,0.333,,
5338089,2017,Department of Biology,College of Arts & Sciences,FT,13,1.938,,
2744088,2020,Department of Biology,College of Arts & Sciences,FT,6,3.35,,
0541917,2020,Disaster Sci & Emergency Serv,College of Health & Human Sci,PT,3,2,,
2545344,2021,Engineering & Science Tech,College of Engr & Polymer Sci,FT,13,3.677,,
6745382,2021,Myers School of Art,College of Arts & Sciences,FT,9,0.567,,
0627264,2016,Electrical & Computer Engr,College of Engr & Polymer Sci,PT,7,2.571,1,1
4839030,2016,School of Allied Health,College of Health & Human Sci,FT,15,3.88,1,
8440815,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,13.5,2.756,1,
1440392,2017,Arts & Sciences Dean,College of Arts & Sciences,FT,13,3.377,1,
4645292,2021,,The University of Akron,FT,16,3.944,,
6945014,2021,Dept of Philosophy,College of Arts & Sciences,FT,10,3.6,,
0445493,2021,,The University of Akron,FT,6,0,,
3640124,2017,Business Dean,College of Business,FT,6,0.65,,
8039018,2016,Early College High School,The University of Akron,FT,2,0,1,
6849327,2016,Early College High School,The University of Akron,FT,12,2.35,,
8445141,2020,Dept of Marketing,College of Business,FT,0,0,,
2648327,2016,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,14,4,1,1
7544815,2020,Dept of Psychology,College of Arts & Sciences,FT,15,3.94,1,
1740389,2017,Department of Biology,College of Arts & Sciences,FT,12,3.433,1,1
0549326,2016,,The University of Akron,FT,8,3.138,1,1
0941716,2017,Department of Sociology,College of Arts & Sciences,FT,11,1.464,1,1
7749363,2017,Department of Biology,College of Arts & Sciences,FT,15,2.22,1,1
1441030,2017,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,15,2.34,,
0148728,2017,Department of Biology,College of Arts & Sciences,FT,22,3.359,1,
0645474,2021,Department of Biology,College of Arts & Sciences,FT,3,0,,
2645398,2021,Dept of Criminal Justice Stu,College of Arts & Sciences,FT,3,2.3,,
7349609,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,12,2.967,1,1
2241051,2017,Dept of Marketing,College of Business,FT,12,3.175,1,
3549476,2017,Department of Biology,College of Arts & Sciences,FT,12.5,3.536,1,1
6047596,2019,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,14,3.579,1,1
6645306,2020,School of Nursing,College of Health & Human Sci,FT,0,0,,
8845337,2021,Dept of Management,College of Business,FT,8,3.25,,
7749647,2017,Dept of Political Science,College of Arts & Sciences,FT,8,2.988,1,1
0843916,2019,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,14,3.836,1,1
6941090,2018,Dept of Mathematics,College of Arts & Sciences,FT,16,2.806,1,1
8627231,2016,School of Nursing,College of Health & Human Sci,FT,12,3.392,1,1
6849347,2017,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,12,2.592,1,1
7045125,2020,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,0,0,1,
2345190,2020,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,3.436,1,
3948439,2017,LBJFF School of Education,College of Arts & Sciences,FT,15,3.06,1,
0948121,2016,School of Music,College of Arts & Sciences,FT,19,3.537,1,1
6348668,2017,Dept of Psychology,College of Arts & Sciences,FT,16,2.906,1,
6027165,2016,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,15,3.96,1,1
